nVideo,Throughput_Avg,Delay_Avg,Jitter_Avg,Loss_Avg
5,2.03808,1.07226,0.736454,0
10,2.03807,1.99012,1.31256,0
15,2.03795,4.05864,3.15235,0
20,2.03799,5.2518,4.15734,0
25,2.03784,12.0561,7.47455,0
30,2.03468,23.3551,9.24409,0.133851
35,1.83913,48.08,10.4149,9.4023
