nVideo,Throughput_Avg,Delay_Avg,Jitter_Avg,Loss_Avg
5,2.03808,0.773846,0.434811,0
10,2.03807,1.48834,0.910993,0
15,2.03803,2.4046,1.48921,0
20,2.03799,4.93906,3.88359,0
25,2.03787,11.9956,7.4532,0
30,2.03461,23.3169,9.24062,0.135814
35,1.7961,49.8614,10.4134,11.5253
