nVideo,Throughput_Avg,Delay_Avg,Jitter_Avg,Loss_Avg
5,2.03808,0.810339,0.451781,0
10,2.03804,1.56157,0.953288,0
15,2.03801,2.52828,1.56211,0
20,2.03797,5.86164,4.72676,0
25,2.03779,13.4914,7.87455,0.000471031
30,2.03031,25.7064,9.4719,0.318143
35,1.8476,53.1327,10.4798,8.86986
