nVideo,Throughput_Avg,Delay_Avg,Jitter_Avg,Loss_Avg
5,2.03808,1.42758,0.702232,0
10,2.03802,2.737,1.59481,0
15,2.03777,13.4596,7.77074,0.000785053
20,1.98248,39.7067,9.99135,2.4579
