nVideo,Throughput_Avg,Delay_Avg,Jitter_Avg,Loss_Avg
5,2.03808,1.13095,0.770394,0
10,2.03806,2.065,1.35299,0
15,2.03802,3.92228,2.99403,0
20,2.03797,5.95701,4.80259,0
25,2.03783,13.5795,7.88636,0.00117758
30,2.03133,25.8266,9.47504,0.269077
35,1.80297,54.5888,10.4775,11.0879
